ID,Gene,gene-onnection,Status,Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location,Grouping
2246,ROR1,ROR1,N/a,"rs649195-<b>G</b>, rs631029-<b>G</b>, rs675893-<b>G</b>, rs679386-<b>A</b>, rs636119-<b>C</b>, rs11208300-<b>G</b>, rs11208305-<b>C</b>, rs1390116-<b>G</b>, rs582428-<b>A</b>, rs10889450-<b>T</b>, rs619334-<b>G</b>, rs11581982-<b>T</b>",3 x 10-11,,0.223,'-,'-,'-,ROR1; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes,Core binding factor acute myeloid leukemia,acute myeloid leukemia,GCST008413,1:63852664,Blood
2248,ROR1,ROR1-AS1,N/a,"rs1324359-<b>G</b>, rs6588083-<b>C</b>",1 x 10-8,,0.175,'-,'-,'-,ROR1; ROR1-AS1; No mapped genes,Core binding factor acute myeloid leukemia,acute myeloid leukemia,GCST008413,1:64150746,Blood
618,SLC22A4,SLC22A4,N/a,rs538021413-<b>T</b>,3 x 10-10,,0.6334,'-,0.02369591 unit increase,[0.016-0.031],"SLC22A4, MIR3936HG",Immature fraction of reticulocytes,reticulocyte count,GCST004628,5:132328824,Blood
693,SLC22A4,SLC22A4,N/a,rs12777-<b>?</b>,4 x 10-9,,NR,'-,'-,'-,"MIR3936HG, SLC22A4",Red cell distribution width,red blood cell distribution width,GCST007074,5:132335969,Blood
788,SLC22A4,SLC22A4,N/a,rs200800380-<b>C</b>,7 x 10-9,,0.539435,'-,0.015068927 unit decrease,[0.01-0.0202],"MIR3936HG, SLC22A4",Platelet count,platelet count,GCST90002402,5:132328838,Blood
888,SLC22A4,SLC22A4,N/a,rs10075801-<b>G</b>,4 x 10-22,,0.4855,'-,0.03509937 unit decrease,[0.028-0.042],"MIR3936HG, SLC22A4",Sum neutrophil eosinophil counts,"neutrophil count, eosinophil count",GCST004613,5:132341949,Blood
890,SLC22A4,SLC22A4,N/a,rs10075801-<b>G</b>,2 x 10-16,,0.4855,'-,0.02985189 unit decrease,[0.023-0.037],"MIR3936HG, SLC22A4",Sum basophil neutrophil counts,"neutrophil count, basophil count",GCST004620,5:132341949,Blood
894,SLC22A4,SLC22A4,N/a,rs10075801-<b>G</b>,8 x 10-16,,0.4855,'-,0.02915474 unit decrease,[0.022-0.036],"MIR3936HG, SLC22A4",Neutrophil count,neutrophil count,GCST004629,5:132341949,Blood
927,SLC22A4,SLC22A4,N/a,rs10075801-<b>G</b>,5 x 10-25,,0.4855,'-,0.0376138 unit decrease,[0.03-0.045],"MIR3936HG, SLC22A4",Myeloid white cell count,myeloid white cell count,GCST004626,5:132341949,Blood
928,SLC22A4,SLC22A4,N/a,rs11242109-<b>T</b>,5 x 10-72,,0.477227,'-,0.033069 SD unit decrease,[0.029-0.037],"SLC22A4, MIR3936HG",White blood cell count,myeloid white cell count,GCST90002374,5:132341354,Blood
955,SLC22A4,SLC22A4,N/a,rs34301845-<b>C</b>,4 x 10-15,,0.5353,'-,0.02859679 unit decrease,[0.021-0.036],"MIR3936HG, SLC22A4",Monocyte count,monocyte count,GCST004625,5:132329474,Blood
956,SLC22A4,SLC22A4,N/a,rs11242109-<b>T</b>,5 x 10-33,,0.478171,'-,0.022463 SD unit decrease,[0.019-0.026],"SLC22A4, MIR3936HG",Monocyte count,monocyte count,GCST90002340,5:132341354,Blood
957,SLC22A4,SLC22A4,N/a,rs538021413-<b>T</b>,2 x 10-10,,0.627443,'-,0.015776893 unit decrease,[0.011-0.021],"SLC22A4, MIR3936HG",Monocyte count,monocyte count,GCST90002393,5:132328824,Blood
991,SLC22A4,SLC22A4,N/a,rs11950562-<b>C</b>,3 x 10-33,,0.4766,'-,0.04343237 unit increase,[0.036-0.051],"MIR3936HG, SLC22A4",Mean platelet volume,mean platelet volume,GCST004599,5:132316836,Blood
1084,SLC22A4,SLC22A4,N/a,rs538021413-<b>T</b>,2 x 10-10,,0.627443,'-,0.015776893 unit decrease,[0.011-0.021],"SLC22A4, MIR3936HG",Lymphocyte counts,lymphocyte count,GCST90002388,5:132328824,Blood
1256,SLC22A4,SLC22A4,N/a,rs10075801-<b>G</b>,7 x 10-26,,0.4856,'-,0.03816809 unit decrease,[0.031-0.045],"MIR3936HG, SLC22A4",White blood cell count,leukocyte count,GCST004610,5:132341949,Blood
1510,SLC22A4,SLC22A4,N/a,rs10075801-<b>G</b>,8 x 10-23,,0.4855,'-,0.03571686 unit decrease,[0.029-0.043],"MIR3936HG, SLC22A4",Granulocyte count,granulocyte count,GCST004614,5:132341949,Blood
2039,SLC22A4,SLC22A4,N/a,rs72795121-<b>A</b>,1 x 10-9,,0.39296,'-,'-,'-,SLC22A4,Basophil count,basophil count,GCST90002296,5:132302631,Blood
2250,SPTBN4,SPTBN4,N/a,"rs843777-<b>G</b>, rs4332846-<b>A</b>, rs1165840-<b>C</b>",6 x 10-25,,0.15,'-,'-,'-,SPTBN4; No mapped genes; No mapped genes,Core binding factor acute myeloid leukemia,acute myeloid leukemia,GCST008413,19:40550886,Blood
2252,SPTBN4,SPTBN4,N/a,"rs843777-<b>A</b>, rs4332846-<b>A</b>, rs1165840-<b>C</b>",7 x 10-23,,0.449,'-,'-,'-,SPTBN4; No mapped genes; No mapped genes,Core binding factor acute myeloid leukemia,acute myeloid leukemia,GCST008413,19:40550886,Blood
694,SSBP4,SSBP4,N/a,rs9749546-<b>C</b>,1 x 10-11,,0.291237,'-,0.016840778 unit increase,[0.012-0.022],"LRRC25, SSBP4",Red cell distribution width,red blood cell distribution width,GCST90002404,19:18407406,Blood
695,SSBP4,SSBP4,N/a,rs10424080-<b>?</b>,3 x 10-19,,NR,'-,'-,'-,"LRRC25, SSBP4",Red cell distribution width,red blood cell distribution width,GCST007074,19:18407968,Blood
885,SSBP4,SSBP4,N/a,rs11668719-<b>C</b>,2 x 10-14,,0.4676,'-,0.02722951 unit increase,[0.02-0.034],"LRRC25, SSBP4",Neutrophil percentage of white cells,neutrophil percentage of leukocytes,GCST004633,19:18404931,Blood
886,SSBP4,SSBP4,N/a,rs1985157-<b>C</b>,9 x 10-43,,0.410708,'-,0.030757667 unit increase,[0.026-0.035],"SSBP4, LRRC25",Neutrophil percentage of white cells,neutrophil percentage of leukocytes,GCST90002399,19:18402784,Blood
889,SSBP4,SSBP4,N/a,rs575404063-<b>C</b>,1 x 10-12,,0.4871,'-,0.02584471 unit increase,[0.019-0.033],"LRRC25, SSBP4",Sum neutrophil eosinophil counts,"neutrophil count, eosinophil count",GCST004613,19:18405498,Blood
891,SSBP4,SSBP4,N/a,rs575404063-<b>C</b>,3 x 10-13,,0.4872,'-,0.02659022 unit increase,[0.019-0.034],"LRRC25, SSBP4",Sum basophil neutrophil counts,"neutrophil count, basophil count",GCST004620,19:18405498,Blood
895,SSBP4,SSBP4,N/a,rs575404063-<b>C</b>,2 x 10-13,,0.4872,'-,0.02677423 unit increase,[0.02-0.034],"LRRC25, SSBP4",Neutrophil count,neutrophil count,GCST004629,19:18405498,Blood
896,SSBP4,SSBP4,N/a,rs1985157-<b>C</b>,5 x 10-31,,0.410687,'-,0.02602827 unit increase,[0.022-0.03],"SSBP4, LRRC25",Neutrophil count,neutrophil count,GCST90002398,19:18402784,Blood
897,SSBP4,SSBP4,N/a,rs1985157-<b>C</b>,2 x 10-35,,0.391786,'-,'-,'-,"SSBP4, LRRC25",Neutrophil count,neutrophil count,GCST90002355,19:18402784,Blood
898,SSBP4,SSBP4,N/a,rs1985157-<b>C</b>,1 x 10-38,,0.410403,'-,0.026496 SD unit increase,[0.023-0.03],"SSBP4, LRRC25",Neutrophil count,neutrophil count,GCST90002351,19:18402784,Blood
929,SSBP4,SSBP4,N/a,rs575404063-<b>C</b>,7 x 10-10,,0.487,'-,0.02256855 unit increase,[0.015-0.03],"LRRC25, SSBP4",Myeloid white cell count,myeloid white cell count,GCST004626,19:18405498,Blood
930,SSBP4,SSBP4,N/a,rs1985157-<b>C</b>,3 x 10-16,,0.377911,'-,'-,'-,"SSBP4, LRRC25",White blood cell count,myeloid white cell count,GCST90002378,19:18402784,Blood
931,SSBP4,SSBP4,N/a,rs1985157-<b>C</b>,2 x 10-18,,0.409933,'-,0.017255 SD unit increase,[0.013-0.021],"SSBP4, LRRC25",White blood cell count,myeloid white cell count,GCST90002374,19:18402784,Blood
949,SSBP4,SSBP4,N/a,rs5827412-<b>T</b>,1 x 10-27,,0.4122,'-,0.03952068 unit decrease,[0.032-0.047],"LRRC25, SSBP4",Monocyte percentage of white cells,monocyte percentage of leukocytes,GCST004609,19:18402008,Blood
950,SSBP4,SSBP4,N/a,rs5827412-<b>T</b>,3 x 10-76,,0.410404,'-,0.042196006 unit decrease,[0.038-0.047],"LRRC25, SSBP4",Monocyte percentage of white cells,monocyte percentage of leukocytes,GCST90002394,19:18402008,Blood
959,SSBP4,SSBP4,N/a,rs28375303-<b>G</b>,2 x 10-10,,0.3295,'-,0.02409441 unit decrease,[0.017-0.032],SSBP4,Monocyte count,monocyte count,GCST004625,19:18419351,Blood
1027,SSBP4,SSBP4,N/a,rs142780001-<b>C</b>,6 x 10-18,,0.338511,'-,0.0142766 unit decrease,[0.0097-0.0189],"LRRC25, SSBP4",Mean corpuscular hemoglobin concentration,mean corpuscular hemoglobin concentration,GCST90002391,19:18409188,Blood
1257,SSBP4,SSBP4,N/a,rs1560117-<b>T</b>,1 x 10-12,,0.471563,'-,0.015697714 unit increase,[0.011-0.02],"LRRC25, SSBP4",White blood cell count,leukocyte count,GCST90002407,19:18402122,Blood
1258,SSBP4,SSBP4,N/a,rs1985157-<b>?</b>,4 x 10-11,,NR,'-,'-,'-,"SSBP4, LRRC25",White blood cell count,leukocyte count,GCST007070,19:18402784,Blood
1509,SSBP4,SSBP4,N/a,rs1985157-<b>C</b>,7 x 10-30,,0.4123,'-,0.04115012 unit increase,[0.034-0.048],"SSBP4, LRRC25",Granulocyte percentage of myeloid white cells,granulocyte percentage of myeloid white cells,GCST004608,19:18402784,Blood
1511,SSBP4,SSBP4,N/a,rs575404063-<b>C</b>,1 x 10-12,,0.4871,'-,0.02594769 unit increase,[0.019-0.033],"LRRC25, SSBP4",Granulocyte count,granulocyte count,GCST004614,19:18405498,Blood
2040,SSBP4,SSBP4,N/a,rs7257932-<b>A</b>,9 x 10-11,,0.330106,'-,0.015309215 unit increase,[0.011-0.02],"SSBP4, LRRC25",Basophil count,basophil count,GCST90002379,19:18416447,Blood
2041,SSBP4,SSBP4,N/a,rs7257932-<b>A</b>,3 x 10-13,,0.329141,'-,'-,'-,"SSBP4, LRRC25",Basophil count,basophil count,GCST90002296,19:18416447,Blood
201,TF,TF,N/a,rs6762719-<b>A</b>,4 x 10-25,,NR,'-,0.149 unit increase,[0.12-0.18],TF,Iron status biomarkers (transferrin saturation),transferrin saturation measurement,GCST004572,3:133761973,Blood
202,TF,TF,N/a,rs6762719-<b>A</b>,4 x 10-25,,NR,'-,0.149 unit increase,NR,TF,Iron status biomarkers (transferrin saturation),transferrin saturation measurement,GCST004572,3:133761973,Blood
203,TF,TF,N/a,rs4854760-<b>G</b>,1 x 10-82,,0.313,'-,0.096 SD decrease,[0.11-0.086],TF,Iron status biomarkers (transferrin saturation),transferrin saturation measurement,GCST011366,3:133779897,Blood
204,TF,TF,N/a,rs3811647-<b>A</b>,3 x 10-47,(transferrin),0.29,'-,15.34 mg/dl increase,[13.26-17.42],TF,Iron status biomarkers,transferrin measurement,GCST000935,3:133765185,Blood
206,TF,TF,N/a,rs6762719-<b>A</b>,1 x 10-323,,NR,'-,0.676 unit decrease,'-,TF,Iron status biomarkers (total iron binding capacity),total iron binding capacity,GCST004571,3:133761973,Blood
207,TF,TF,N/a,rs8177248-<b>C</b>,4 x 10-322,,NR,'-,0.649 unit decrease,[0.62-0.68],TF,Iron status biomarkers (total iron binding capacity),total iron binding capacity,GCST004571,3:133760782,Blood
208,TF,TF,N/a,rs4854760-<b>G</b>,1 x 10-300,,0.313,'-,0.34 SD increase,[0.33-0.36],TF,Iron status biomarkers (total iron binding capacity),total iron binding capacity,GCST011368,3:133779897,Blood
508,TF,TF,N/a,rs1799852-<b>T</b>,3 x 10-9,,NR,'-,0.0252 unit decrease,[0.017-0.033],TF,Non-albumin protein levels,serum non-albumin protein measurement,GCST90019515,3:133756878,Blood
539,TF,TF,N/a,rs2692666-<b>G</b>,3 x 10-6,,NR,'-,0.306 unit increase,'-,TF,Iron status biomarkers (iron levels),serum iron measurement,GCST004570,3:133759510,Blood
540,TF,TF,N/a,rs4854760-<b>G</b>,6 x 10-33,,0.313,'-,0.053 SD increase,[0.044-0.062],TF,Iron status biomarkers (iron levels),serum iron measurement,GCST011367,3:133779897,Blood
542,TF,TF,N/a,rs3811647-<b>?</b>,2 x 10-16,(Tf),NR,'-,0.338 ng/ml increase,[0.26-0.42],TF,Hepcidin levels,serum hepcidin measurement,GCST001174,3:133765185,Blood
671,TF,TF,N/a,rs1799852-<b>C</b>,1 x 10-15,,0.903151,'-,'-,'-,TF,Red cell distribution width,red blood cell distribution width,GCST90002372,3:133756878,Blood
672,TF,TF,N/a,rs1799852-<b>T</b>,6 x 10-16,,0.094272,'-,0.030574786 unit decrease,[0.023-0.038],TF,Red cell distribution width,red blood cell distribution width,GCST90002404,3:133756878,Blood
673,TF,TF,N/a,rs150854910-<b>T</b>,5 x 10-11,,0.001241,'-,0.20589449 unit decrease,[0.14-0.27],TF,Red cell distribution width,red blood cell distribution width,GCST90002404,3:133757925,Blood
674,TF,TF,N/a,rs1799852-<b>?</b>,2 x 10-15,,NR,'-,'-,'-,TF,Red cell distribution width,red blood cell distribution width,GCST007074,3:133756878,Blood
675,TF,TF,N/a,rs8177318-<b>A</b>,6 x 10-12,,0.0013,'-,0.3511039 unit increase,[0.25-0.45],"INHCAP, TF",Red cell distribution width,red blood cell distribution width,GCST004621,3:133748533,Blood
676,TF,TF,N/a,rs8177318-<b>A</b>,3 x 10-18,,0.000784,'-,0.38752565 unit increase,[0.3-0.47],"INHCAP, TF",Red cell distribution width,red blood cell distribution width,GCST90002404,3:133748533,Blood
699,TF,TF,N/a,rs8177248-<b>T</b>,2 x 10-20,,0.36095,'-,'-,'-,TF,Red blood cell count,red blood cell density measurement,GCST90002367,3:133760782,Blood
1005,TF,TF,N/a,rs150854910-<b>T</b>,3 x 10-13,,0.0015,'-,0.356681 unit increase,[0.26-0.45],TF,Mean corpuscular volume,mean corpuscular volume,GCST004602,3:133757925,Blood
1006,TF,TF,N/a,rs34252038-<b>T</b>,7 x 10-12,,0.341,'-,0.02545329 unit decrease,[0.018-0.033],TF,Mean corpuscular volume,mean corpuscular volume,GCST004602,3:133771777,Blood
1007,TF,TF,N/a,rs150854910-<b>C</b>,9 x 10-49,,0.998713,'-,0.383347 SD unit decrease,[0.33-0.43],TF,Mean corpuscular volume,mean corpuscular volume,GCST90002334,3:133757925,Blood
1008,TF,TF,N/a,rs150854910-<b>C</b>,1 x 10-47,,0.998712,'-,'-,'-,TF,Mean corpuscular volume,mean corpuscular volume,GCST90002338,3:133757925,Blood
1009,TF,TF,N/a,rs8177240-<b>T</b>,4 x 10-13,,0.532675,'-,0.029673 SD units increase,[0.022-0.038],TF,Mean corpuscular volume,mean corpuscular volume,GCST90002335,3:133758857,Blood
1010,TF,TF,N/a,rs150854910-<b>T</b>,7 x 10-43,,0.001237,'-,0.42594 unit increase,[0.37-0.48],TF,Mean corpuscular volume,mean corpuscular volume,GCST90002392,3:133757925,Blood
1011,TF,TF,N/a,rs4854760-<b>G</b>,4 x 10-13,,0.340755,'-,0.0232442 unit decrease,[0.019-0.027],TF,Mean corpuscular volume,mean corpuscular volume,GCST90002392,3:133779897,Blood
1012,TF,TF,N/a,rs6794370-<b>C</b>,9 x 10-12,,0.806262,'-,0.0282002 unit decrease,[0.023-0.033],TF,Mean corpuscular volume,mean corpuscular volume,GCST90002392,3:133771490,Blood
1013,TF,TF,N/a,rs150854910-<b>T</b>,2 x 10-13,,0.001242,'-,0.23253189 unit increase,[0.17-0.29],TF,Mean spheric corpuscular volume,mean corpuscular volume,GCST90002397,3:133757925,Blood
1014,TF,TF,N/a,rs8177318-<b>A</b>,2 x 10-12,,0.0013,'-,0.3581947 unit decrease,[0.26-0.46],"INHCAP, TF",Mean corpuscular volume,mean corpuscular volume,GCST004602,3:133748533,Blood
1015,TF,TF,N/a,rs8177318-<b>A</b>,7 x 10-22,,0.000784,'-,0.402291 unit decrease,[0.32-0.48],"INHCAP, TF",Mean corpuscular volume,mean corpuscular volume,GCST90002392,3:133748533,Blood
1017,TF,TF,N/a,rs8177297-<b>?</b>,3 x 10-8,,NR,'-,0.02406 unit decrease,[0.016-0.033],TF,Mean corpuscular hemoglobin concentration,mean corpuscular hemoglobin concentration,GCST005992,3:133772601,Blood
1018,TF,TF,N/a,rs72382362-<b>T</b>,6 x 10-9,,0.5116,'-,0.02032941 unit decrease,[0.013-0.027],TF,Mean corpuscular hemoglobin concentration,mean corpuscular hemoglobin concentration,GCST004605,3:133773486,Blood
1019,TF,TF,N/a,rs8177260-<b>T</b>,2 x 10-17,,0.53319,'-,0.034897 SD units increase,[0.027-0.043],TF,Mean corpuscular hemoglobin,mean corpuscular hemoglobin concentration,GCST90002323,3:133761614,Blood
1020,TF,TF,N/a,rs150854910-<b>C</b>,3 x 10-58,,0.998736,'-,0.442349 SD unit decrease,[0.39-0.5],TF,Mean corpuscular hemoglobin,mean corpuscular hemoglobin concentration,GCST90002322,3:133757925,Blood
1021,TF,TF,N/a,rs1358023-<b>C</b>,1 x 10-17,,0.339799,'-,0.018065 SD unit decrease,[0.014-0.022],TF,Mean corpuscular hemoglobin concentration,mean corpuscular hemoglobin concentration,GCST90002328,3:133765549,Blood
1022,TF,TF,N/a,rs1358023-<b>C</b>,4 x 10-25,,0.363173,'-,'-,'-,TF,Mean corpuscular hemoglobin concentration,mean corpuscular hemoglobin concentration,GCST90002332,3:133765549,Blood
1023,TF,TF,N/a,rs8177297-<b>C</b>,4 x 10-12,,0.602264,'-,0.028345 SD units increase,[0.02-0.036],TF,Mean corpuscular hemoglobin concentration,mean corpuscular hemoglobin concentration,GCST90002329,3:133772601,Blood
1024,TF,TF,N/a,rs150854910-<b>T</b>,8 x 10-9,,0.001235,'-,0.180883 unit increase,[0.12-0.24],TF,Mean corpuscular hemoglobin concentration,mean corpuscular hemoglobin concentration,GCST90002391,3:133757925,Blood
1025,TF,TF,N/a,rs8177318-<b>A</b>,2 x 10-10,,0.0013,'-,0.3197374 unit decrease,[0.22-0.42],"INHCAP, TF",Mean corpuscular hemoglobin concentration,mean corpuscular hemoglobin concentration,GCST004605,3:133748533,Blood
1026,TF,TF,N/a,rs8177318-<b>A</b>,4 x 10-12,,0.000782,'-,0.290727 unit decrease,[0.2-0.38],"INHCAP, TF",Mean corpuscular hemoglobin concentration,mean corpuscular hemoglobin concentration,GCST90002391,3:133748533,Blood
1030,TF,TF,N/a,rs150854910-<b>T</b>,3 x 10-13,,0.0015,'-,0.3582461 unit increase,[0.26-0.45],TF,Mean corpuscular hemoglobin,mean corpuscular hemoglobin,GCST004630,3:133757925,Blood
1031,TF,TF,N/a,rs1358023-<b>C</b>,7 x 10-17,,0.3403,'-,0.03109293 unit decrease,[0.024-0.038],TF,Mean corpuscular hemoglobin,mean corpuscular hemoglobin,GCST004630,3:133765549,Blood
1032,TF,TF,N/a,rs150854910-<b>T</b>,2 x 10-47,,0.001237,'-,0.45218804 unit increase,[0.39-0.51],TF,Mean corpuscular hemoglobin,mean corpuscular hemoglobin,GCST90002390,3:133757925,Blood
1033,TF,TF,N/a,rs4854760-<b>G</b>,1 x 10-17,,0.34071,'-,0.021326935 unit decrease,[0.016-0.026],TF,Mean corpuscular hemoglobin,mean corpuscular hemoglobin,GCST90002390,3:133779897,Blood
1034,TF,TF,N/a,rs6794370-<b>C</b>,3 x 10-12,,0.806282,'-,0.021012042 unit decrease,[0.015-0.027],TF,Mean corpuscular hemoglobin,mean corpuscular hemoglobin,GCST90002390,3:133771490,Blood
1035,TF,TF,N/a,rs6762719-<b>?</b>,3 x 10-32,,NR,'-,'-,'-,TF,Mean corpuscular hemoglobin,mean corpuscular hemoglobin,GCST007068,3:133761973,Blood
1036,TF,TF,N/a,rs8177318-<b>A</b>,2 x 10-18,,0.0013,'-,0.4480368 unit decrease,[0.35-0.55],"INHCAP, TF",Mean corpuscular hemoglobin,mean corpuscular hemoglobin,GCST004630,3:133748533,Blood
1037,TF,TF,N/a,rs8177318-<b>A</b>,5 x 10-31,,0.000784,'-,0.5124362 unit decrease,[0.43-0.6],"INHCAP, TF",Mean corpuscular hemoglobin,mean corpuscular hemoglobin,GCST90002390,3:133748533,Blood
1038,TF,TF,N/a,rs9843728-<b>?</b>,3 x 10-16,,NR,'-,0.03541 unit decrease,[0.027-0.044],TF,Mean corpuscular hemoglobin,mean corpuscular hemoglobin,GCST005993,3:133782563,Blood
1274,TF,TF,N/a,rs8177240-<b>T</b>,7 x 10-38,,0.669,'-,0.1 unit increase,[0.084-0.116],TF,Iron status biomarkers (transferrin saturation),"iron biomarker measurement, transferrin saturation measurement",GCST002680,3:133758857,Blood
1275,TF,TF,N/a,rs1799852-<b>T</b>,7 x 10-9,,0.098,'-,0.11 unit increase,[0.073-0.147],TF,Iron status biomarkers (transferrin saturation),"iron biomarker measurement, transferrin saturation measurement",GCST002680,3:133756878,Blood
1276,TF,TF,N/a,rs8177240-<b>T</b>,8 x 10-610,,0.669,'-,0.38 unit decrease,[0.37-0.39],TF,Iron status biomarkers (transferrin levels),"iron biomarker measurement, transferrin measurement",GCST002678,3:133758857,Blood
1277,TF,TF,N/a,rs3811647-<b>A</b>,5 x 10-10,(Total iron-binding capacity),NR,'-,21.49 ug/dL increase,[NR],TF,Iron status biomarkers,"iron biomarker measurement, total iron binding capacity",GCST001021,3:133765185,Blood
1278,TF,TF,N/a,rs8177240-<b>T</b>,7 x 10-20,,0.669,'-,0.066 unit decrease,[0.052-0.080],TF,Iron status biomarkers (iron levels),"iron biomarker measurement, serum iron measurement",GCST002679,3:133758857,Blood
1279,TF,TF,N/a,rs3811647-<b>?</b>,3 x 10-15,(serum transferrin),NR,'-,0.46 s.d. decrease,[0.34-0.58],TF,Iron status biomarkers,iron biomarker measurement,GCST000301,3:133765185,Blood
1280,TF,TF,N/a,rs1799852-<b>?</b>,5 x 10-6,(serum transferrin),0.09,'-,0.43 s.d. decrease,[0.25-0.61],TF,Iron status biomarkers,iron biomarker measurement,GCST000301,3:133756878,Blood
1281,TF,TF,N/a,rs3811647-<b>A</b>,8 x 10-6,(Unsaturated iron-binding capacity),NR,'-,21.62 ug/dL increase,[NR],TF,Iron status biomarkers,iron biomarker measurement,GCST001021,3:133765185,Blood
1282,TF,TF,N/a,rs1830084-<b>A</b>,1 x 10-9,(serum transferrin),0.36,'-,0.43 s.d. increase,[NR],"SRPRB, TF",Iron status biomarkers,iron biomarker measurement,GCST000302,3:133789620,Blood
1416,TF,TF,N/a,rs3811647-<b>?</b>,2 x 10-20,(Trasferrin),NR,'-,0.4 unit decrease,[0.32-0.48],TF,Hereditary hemochromatosis-related traits (HFE mutation homozygotes),"hereditary hemochromatosis type 1, transferrin measurement",GCST002660,3:133765185,Blood
1417,TF,TF,N/a,rs3811647-<b>?</b>,9 x 10-11,(Serum Iron levels),NR,'-,0.28 unit decrease,[0.20-0.36],TF,Hereditary hemochromatosis-related traits (HFE mutation homozygotes),"hereditary hemochromatosis type 1, serum iron measurement",GCST002660,3:133765185,Blood
1558,TF,TF,N/a,rs150854910-<b>T</b>,1 x 10-11,,0.001235,'-,0.21286973 unit decrease,[0.15-0.27],TF,Red blood cell count,erythrocyte count,GCST90002403,3:133757925,Blood
1559,TF,TF,N/a,rs4854761-<b>A</b>,3 x 10-15,,0.340419,'-,0.01836411 unit increase,[0.014-0.023],TF,Red blood cell count,erythrocyte count,GCST90002403,3:133779945,Blood
1560,TF,TF,N/a,rs8177247-<b>?</b>,1 x 10-16,,NR,'-,'-,'-,TF,Red blood cell count,erythrocyte count,GCST007069,3:133760655,Blood
1561,TF,TF,N/a,rs8177318-<b>A</b>,4 x 10-10,,0.000781,'-,0.27812424 unit increase,[0.19-0.37],"INHCAP, TF",Red blood cell count,erythrocyte count,GCST90002403,3:133748533,Blood
1974,TF,TF,N/a,rs4854760-<b>A</b>,2 x 10-25,"(NAALAD2, 7986_98_3)",0.7353125,'-,0.29006043 unit decrease,[0.24-0.34],TF,Blood protein levels,blood protein measurement,GCST006585,3:133779897,Blood
1975,TF,TF,N/a,rs4854760-<b>A</b>,6 x 10-16,"(TF, 4162_54_2)",0.7353125,'-,0.22745943 unit decrease,[0.17-0.28],TF,Blood protein levels,blood protein measurement,GCST006585,3:133779897,Blood
2206,TF,TF,N/a,"rs8177248-<b>C</b>, rs8177277-<b>T</b>, rs1115219-<b>T</b>, rs2715632-<b>T</b>, rs1358022-<b>G</b>, rs7638018-<b>A</b>, rs2718796-<b>C</b>, rs8177253-<b>C</b>, rs1525892-<b>G</b>, rs8177262-<b>G</b>, rs1049296-<b>C</b>, rs2715627-<b>C</b>, rs8177272-<b>G</b>, rs2715631-<b>G</b>",3 x 10-16,,0,'-,'-,'-,TF; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes,Core binding factor acute myeloid leukemia,acute myeloid leukemia,GCST008413,3:133760782,Blood
2208,TF,TF,N/a,"rs8177248-<b>C</b>, rs8177277-<b>T</b>, rs1115219-<b>C</b>, rs2715632-<b>T</b>, rs1358022-<b>G</b>, rs7638018-<b>A</b>, rs2718796-<b>C</b>, rs8177253-<b>C</b>, rs1525892-<b>G</b>, rs8177262-<b>G</b>, rs1049296-<b>C</b>, rs2715627-<b>C</b>, rs8177272-<b>G</b>, rs2715631-<b>G</b>",4 x 10-12,,0.236,'-,'-,'-,TF; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes,Core binding factor acute myeloid leukemia,acute myeloid leukemia,GCST008413,3:133760782,Blood
779,TGM3,TGM3,N/a,rs560600212-<b>T</b>,2 x 10-11,,0.000598,'-,0.47624338 unit decrease,[0.34-0.61],"STK35, TGM3",Plateletcrit,platelet crit,GCST90002400,20:2207190,Blood
515,TNIP1,TNIP1,N/a,rs4958435-<b>T</b>,8 x 10-14,,NR,'-,0.0187 unit increase,[0.014-0.024],TNIP1,Non-albumin protein levels,serum non-albumin protein measurement,GCST90019515,5:151058723,Blood
887,TNIP1,TNIP1,N/a,rs3792783-<b>G</b>,2 x 10-11,,0.155,'-,0.03317528 unit increase,[0.023-0.043],TNIP1,Neutrophil percentage of granulocytes,neutrophil percentage of granulocytes,GCST004623,5:151076171,Blood
958,TNIP1,TNIP1,N/a,rs8177833-<b>G</b>,3 x 10-13,,0.055143,'-,0.03541474 unit decrease,[0.026-0.045],TNIP1,Monocyte count,monocyte count,GCST90002393,5:151087130,Blood
1080,TNIP1,TNIP1,N/a,rs79901336-<b>T</b>,1 x 10-9,,0.054582,'-,0.030893918 unit decrease,[0.021-0.041],"TNIP1, ANXA6",Lymphocyte percentage of white cells,lymphocyte percentage of leukocytes,GCST90002389,5:151097114,Blood
1085,TNIP1,TNIP1,N/a,rs8177833-<b>G</b>,3 x 10-13,,0.055143,'-,0.03541474 unit decrease,[0.026-0.045],TNIP1,Lymphocyte counts,lymphocyte count,GCST90002388,5:151087130,Blood
