ID,Imprinted Gene,Gene,Paternal/Maternal,Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location,Grouping
575,GLIS3,GLIS3,Paternal,rs6415788-<b>T</b>,1 x 10-36,,0.657438,'-,'-,'-,GLIS3,Hematocrit,hematocrit,GCST90002308,9:4118111,Blood
576,GLIS3,GLIS3,Paternal,rs6415788-<b>T</b>,6 x 10-36,,0.659297,'-,'-,'-,GLIS3,Hemoglobin concentration,hemoglobin measurement,GCST90002314,9:4118111,Blood
577,GLIS3,GLIS3,Paternal,rs6415788-<b>T</b>,2 x 10-24,,0.603452,'-,0.023291219 unit decrease,[0.019-0.028],GLIS3,Hematocrit,hematocrit,GCST90002383,9:4118111,Blood
578,GLIS3,GLIS3,Paternal,rs6415788-<b>?</b>,4 x 10-26,,NR,'-,'-,'-,GLIS3,Red blood cell count,erythrocyte count,GCST007069,9:4118111,Blood
579,GLIS3,GLIS3,Paternal,rs6415788-<b>T</b>,1 x 10-22,,0.603442,'-,0.022322582 unit decrease,[0.018-0.027],GLIS3,Red blood cell count,erythrocyte count,GCST90002403,9:4118111,Blood
580,GLIS3,GLIS3,Paternal,rs6415788-<b>G</b>,3 x 10-22,,'-,'-,0.022 unit increase,[NR],GLIS3,Hemoglobin levels,hemoglobin measurement,GCST010083,9:4118111,Blood
581,GLIS3,GLIS3,Paternal,rs6415788-<b>T</b>,4 x 10-11,,0.6026,'-,0.0244589 unit decrease,[0.017-0.032],GLIS3,Hemoglobin concentration,hemoglobin measurement,GCST004615,9:4118111,Blood
582,GLIS3,GLIS3,Paternal,rs7043265-<b>C</b>,2 x 10-9,,0.231018,'-,0.015952703 unit increase,[0.011-0.021],GLIS3,Platelet count,platelet count,GCST90002402,9:4292012,Blood
632,GLIS3,GLIS3,Paternal,rs564816-<b>C</b>,3 x 10-7,,0.04,'-,'-,[NR],GLIS3,Methotrexate phramacokinetics (acute lymphoblastic leukemia),response to antineoplastic agent,GCST000523,9:4015370,Blood
782,GPR1,GPR1,Paternal,rs115067791-<b>A</b>,1 x 10-9,,0.057386,'-,0.029510975 unit decrease,[0.02-0.039],"EEF1B2, GPR1",Reticulocyte count,reticulocyte count,GCST90002405,2:206168582,Blood
783,GPR1,GPR1,Paternal,rs115067791-<b>A</b>,4 x 10-9,,0.057376,'-,0.028460527 unit decrease,[0.019-0.038],"EEF1B2, GPR1",Reticulocyte fraction of red cells,reticulocyte measurement,GCST90002406,2:206168582,Blood
784,GPR1,GPR1,Paternal,rs13028246-<b>T</b>,1 x 10-9,,0.5171,'-,0.013664011 unit increase,[0.0093-0.018],GPR1-AS,Mean spheric corpuscular volume,mean corpuscular volume,GCST90002397,2:206220097,Blood
787,GPR1,GPR1-AS,Paternal,rs13028246-<b>T</b>,1 x 10-9,,0.5171,'-,0.013664011 unit increase,[0.0093-0.018],GPR1-AS,Mean spheric corpuscular volume,mean corpuscular volume,GCST90002397,2:206220097,Blood
887,HECW1,HECW1,Paternal,"rs17207421-<b>A</b>, rs11979957-<b>A</b>, rs2240983-<b>G</b>, rs12702043-<b>A</b>, rs1860755-<b>G</b>, rs17801421-<b>A</b>, rs2024269-<b>T</b>",3 x 10-15,,0.011,'-,'-,'-,HECW1; HECW1; HECW1; HECW1; HECW1; HECW1; HECW1,Core binding factor acute myeloid leukemia,acute myeloid leukemia,GCST008413,7:43435480|7:43441841|7:43441038|7:43441857|7:43434275|7:43434488|7:43434218,Blood
888,HECW1,HECW1,Paternal,"rs17207421-<b>A</b>, rs11979957-<b>A</b>, rs2240983-<b>G</b>, rs12702043-<b>G</b>, rs1860755-<b>G</b>, rs17801421-<b>A</b>, rs2024269-<b>T</b>",8 x 10-15,,0.23,'-,'-,'-,HECW1; HECW1; HECW1; HECW1; HECW1; HECW1; HECW1,Core binding factor acute myeloid leukemia,acute myeloid leukemia,GCST008413,7:43435480|7:43441841|7:43441038|7:43441857|7:43434275|7:43434488|7:43434218,Blood
1228,IGF2,IGF2,Paternal,rs11042751-<b>C</b>,6 x 10-11,,NR,'-,0.0188 unit increase,[0.013-0.024],IGF2,Glycated hemoglobin levels,HbA1c measurement,GCST90019509,11:2128634,Blood
1257,IGF2,IGF2,Paternal,rs11564722-<b>T</b>,2 x 10-15,,0.293296,'-,'-,'-,INS-IGF2,Hemoglobin concentration,hemoglobin measurement,GCST90002314,11:2157100,Blood
1270,IGF2,IGF2,Paternal,rs11564722-<b>T</b>,9 x 10-13,,0.240949,'-,0.018659724 unit increase,[0.014-0.024],INS-IGF2,Red blood cell count,erythrocyte count,GCST90002403,11:2157100,Blood
1273,IGF2,IGF2,Paternal,rs11042596-<b>G</b>,5 x 10-10,,0.662929,'-,0.014945593 unit decrease,[0.01-0.02],"H19, IGF2",Reticulocyte count,reticulocyte count,GCST90002405,11:2097630,Blood
1274,IGF2,IGF2,Paternal,rs11564722-<b>?</b>,5 x 10-12,,NR,'-,'-,'-,INS-IGF2,Red blood cell count,erythrocyte count,GCST007069,11:2157100,Blood
1282,IGF2,IGF2,Paternal,rs3842752-<b>A</b>,1 x 10-17,,NR,'-,0.025 unit increase,[0.019-0.031],"INS-IGF2, INS",Glycated hemoglobin levels,HbA1c measurement,GCST90019509,11:2159843,Blood
1287,IGF2,IGF2,Paternal,rs3842753-<b>T</b>,4 x 10-8,,0.284,'-,0.0075 unit increase,[0.0044-0.0106],"INS-IGF2, INS",Glycated hemoglobin levels,HbA1c measurement,GCST90002244,11:2159830,Blood
1293,IGF2,IGF2,Paternal,rs2239681-<b>A</b>,2 x 10-8,,'-,'-,0.014 unit increase,[NR],"IGF2-AS, INS-IGF2",Hemoglobin levels,hemoglobin measurement,GCST010083,11:2146751,Blood
1326,IGF2,IGF2-AS,Paternal,rs2239681-<b>A</b>,2 x 10-8,,'-,'-,0.014 unit increase,[NR],"IGF2-AS, INS-IGF2",Hemoglobin levels,hemoglobin measurement,GCST010083,11:2146751,Blood
1336,IGF2,INS-IGF2,Paternal,rs11564722-<b>T</b>,2 x 10-15,,0.293296,'-,'-,'-,INS-IGF2,Hemoglobin concentration,hemoglobin measurement,GCST90002314,11:2157100,Blood
1349,IGF2,INS-IGF2,Paternal,rs11564722-<b>T</b>,9 x 10-13,,0.240949,'-,0.018659724 unit increase,[0.014-0.024],INS-IGF2,Red blood cell count,erythrocyte count,GCST90002403,11:2157100,Blood
1352,IGF2,INS-IGF2,Paternal,rs11564722-<b>?</b>,5 x 10-12,,NR,'-,'-,'-,INS-IGF2,Red blood cell count,erythrocyte count,GCST007069,11:2157100,Blood
1358,IGF2,INS-IGF2,Paternal,rs3842752-<b>A</b>,2 x 10-18,,NR,'-,0.0262 unit increase,[0.02-0.032],"INS-IGF2, INS",Blood glucose levels,glucose measurement,GCST90019508,11:2159843,Blood
1359,IGF2,INS-IGF2,Paternal,rs3842752-<b>A</b>,1 x 10-17,,NR,'-,0.025 unit increase,[0.019-0.031],"INS-IGF2, INS",Glycated hemoglobin levels,HbA1c measurement,GCST90019509,11:2159843,Blood
1366,IGF2,INS-IGF2,Paternal,rs3842753-<b>T</b>,4 x 10-8,,0.284,'-,0.0075 unit increase,[0.0044-0.0106],"INS-IGF2, INS",Glycated hemoglobin levels,HbA1c measurement,GCST90002244,11:2159830,Blood
1385,IGF2,INS-IGF2,Paternal,rs2239681-<b>A</b>,2 x 10-8,,'-,'-,0.014 unit increase,[NR],"IGF2-AS, INS-IGF2",Hemoglobin levels,hemoglobin measurement,GCST010083,11:2146751,Blood
1393,INS,INS,Paternal,rs3842752-<b>A</b>,1 x 10-17,,NR,'-,0.025 unit increase,[0.019-0.031],"INS-IGF2, INS",Glycated hemoglobin levels,HbA1c measurement,GCST90019509,11:2159843,Blood
1398,INS,INS,Paternal,rs3842753-<b>T</b>,4 x 10-8,,0.284,'-,0.0075 unit increase,[0.0044-0.0106],"INS-IGF2, INS",Glycated hemoglobin levels,HbA1c measurement,GCST90002244,11:2159830,Blood
1411,INS,INS,Paternal,rs11564722-<b>T</b>,2 x 10-15,,0.293296,'-,'-,'-,INS-IGF2,Hemoglobin concentration,hemoglobin measurement,GCST90002314,11:2157100,Blood
1423,INS,INS,Paternal,rs11564722-<b>T</b>,9 x 10-13,,0.240949,'-,0.018659724 unit increase,[0.014-0.024],INS-IGF2,Red blood cell count,erythrocyte count,GCST90002403,11:2157100,Blood
1426,INS,INS,Paternal,rs11564722-<b>?</b>,5 x 10-12,,NR,'-,'-,'-,INS-IGF2,Red blood cell count,erythrocyte count,GCST007069,11:2157100,Blood
1457,INS,INS,Paternal,rs2239681-<b>A</b>,2 x 10-8,,'-,'-,0.014 unit increase,[NR],"IGF2-AS, INS-IGF2",Hemoglobin levels,hemoglobin measurement,GCST010083,11:2146751,Blood
1467,INS,INS-IGF2,Paternal,rs11564722-<b>T</b>,2 x 10-15,,0.293296,'-,'-,'-,INS-IGF2,Hemoglobin concentration,hemoglobin measurement,GCST90002314,11:2157100,Blood
1480,INS,INS-IGF2,Paternal,rs11564722-<b>T</b>,9 x 10-13,,0.240949,'-,0.018659724 unit increase,[0.014-0.024],INS-IGF2,Red blood cell count,erythrocyte count,GCST90002403,11:2157100,Blood
1483,INS,INS-IGF2,Paternal,rs11564722-<b>?</b>,5 x 10-12,,NR,'-,'-,'-,INS-IGF2,Red blood cell count,erythrocyte count,GCST007069,11:2157100,Blood
1490,INS,INS-IGF2,Paternal,rs3842752-<b>A</b>,1 x 10-17,,NR,'-,0.025 unit increase,[0.019-0.031],"INS-IGF2, INS",Glycated hemoglobin levels,HbA1c measurement,GCST90019509,11:2159843,Blood
1497,INS,INS-IGF2,Paternal,rs3842753-<b>T</b>,4 x 10-8,,0.284,'-,0.0075 unit increase,[0.0044-0.0106],"INS-IGF2, INS",Glycated hemoglobin levels,HbA1c measurement,GCST90002244,11:2159830,Blood
1516,INS,INS-IGF2,Paternal,rs2239681-<b>A</b>,2 x 10-8,,'-,'-,0.014 unit increase,[NR],"IGF2-AS, INS-IGF2",Hemoglobin levels,hemoglobin measurement,GCST010083,11:2146751,blood
1530,IRAIN,IRAIN,Paternal,rs1573891-<b>?</b>,6 x 10-8,,NR,'-,'-,'-,"IRAIN, FAM169B",Red cell distribution width,red blood cell distribution width,GCST007074,15:98643259,Blood
2163,LIN28B,LIN28B,Paternal,rs364663-<b>A</b>,2 x 10-9,,0.557338,'-,0.013224364 unit decrease,[0.0089-0.0176],LIN28B,White blood cell count,leukocyte count,GCST90002407,6:104995314,Blood
2365,MIMT1,MIMT1,Paternal,"rs8113561-<b>G</b>, rs382592-<b>C</b>, rs10408898-<b>G</b>, rs10401139-<b>T</b>, rs2870477-<b>G</b>, rs1860565-<b>G</b>, rs11881055-<b>A</b>, rs2159551-<b>C</b>, rs8102497-<b>A</b>",1 x 10-16,,0.001,'-,'-,'-,MIMT1 - AC044792.1; MIMT1; MIMT1 - AC044792.1; AC006115.2; ZIM2; PEG3; ZIM2; PEG3; ZIM2; MIMT1 - AC044792.1; PEG3; ZIM2; MIMT1 - AC044792.1,Core binding factor acute myeloid leukemia,acute myeloid leukemia,GCST008413,19:56866899|19:56848432|19:56868336|19:56808849|19:56833545|19:56823654|19:56863695|19:56833599|19:56858687,Blood
2366,MIMT1,MIMT1,Paternal,"rs8113561-<b>G</b>, rs382592-<b>C</b>, rs10408898-<b>G</b>, rs10401139-<b>C</b>, rs2870477-<b>G</b>, rs1860565-<b>G</b>, rs11881055-<b>A</b>, rs2159551-<b>C</b>, rs8102497-<b>A</b>",4 x 10-9,,0.188,'-,'-,'-,MIMT1 - AC044792.1; MIMT1; MIMT1 - AC044792.1; AC006115.2; ZIM2; PEG3; ZIM2; PEG3; ZIM2; MIMT1 - AC044792.1; PEG3; ZIM2; MIMT1 - AC044792.1,Core binding factor acute myeloid leukemia,acute myeloid leukemia,GCST008413,19:56866899|19:56848432|19:56868336|19:56808849|19:56833545|19:56823654|19:56863695|19:56833599|19:56858687,Blood
2531,WT1,PAWR,Paternal,rs4842316-<b>T</b>,1 x 10-13,,0.594967,'-,'-,'-,PAWR,White blood cell count,myeloid white cell count,GCST90002378,12:79580785,Blood
2533,PEG3,PEG3,Paternal,"rs8113561-<b>G</b>, rs382592-<b>C</b>, rs10408898-<b>G</b>, rs10401139-<b>T</b>, rs2870477-<b>G</b>, rs1860565-<b>G</b>, rs11881055-<b>A</b>, rs2159551-<b>C</b>, rs8102497-<b>A</b>",1 x 10-16,,0.001,'-,'-,'-,MIMT1 - AC044792.1; MIMT1; MIMT1 - AC044792.1; AC006115.2; ZIM2; PEG3; ZIM2; PEG3; ZIM2; MIMT1 - AC044792.1; PEG3; ZIM2; MIMT1 - AC044792.1,Core binding factor acute myeloid leukemia,acute myeloid leukemia,GCST008413,19:56866899|19:56848432|19:56868336|19:56808849|19:56833545|19:56823654|19:56863695|19:56833599|19:56858687,Blood
2534,PEG3,PEG3,Paternal,"rs8113561-<b>G</b>, rs382592-<b>C</b>, rs10408898-<b>G</b>, rs10401139-<b>C</b>, rs2870477-<b>G</b>, rs1860565-<b>G</b>, rs11881055-<b>A</b>, rs2159551-<b>C</b>, rs8102497-<b>A</b>",4 x 10-9,,0.188,'-,'-,'-,MIMT1 - AC044792.1; MIMT1; MIMT1 - AC044792.1; AC006115.2; ZIM2; PEG3; ZIM2; PEG3; ZIM2; MIMT1 - AC044792.1; PEG3; ZIM2; MIMT1 - AC044792.1,Core binding factor acute myeloid leukemia,acute myeloid leukemia,GCST008413,19:56866899|19:56848432|19:56868336|19:56808849|19:56833545|19:56823654|19:56863695|19:56833599|19:56858687,Blood
2545,PLAGL1,PLAGL1,Paternal,rs2064495-<b>?</b>,6 x 10-10,,NR,'-,'-,'-,PLAGL1,Eosinophil counts,eosinophil count,GCST007065,6:143948864,Blood
2546,PLAGL1,PLAGL1,Paternal,rs11373039-<b>AG</b>,1 x 10-12,,0.082789,'-,0.028627379 unit decrease,[0.021-0.037],PLAGL1,Monocyte percentage of white cells,monocyte percentage of leukocytes,GCST90002394,6:144054680,Blood
2547,PLAGL1,PLAGL1,Paternal,rs149110519-<b>T</b>,5 x 10-17,,0.0349,'-,0.08266498 unit decrease,[0.063-0.102],"SF3B5, PLAGL1",Neutrophil percentage of white cells,neutrophil percentage of leukocytes,GCST004633,6:144064640,Blood
2548,PLAGL1,PLAGL1,Paternal,rs149110519-<b>T</b>,2 x 10-29,,0.0349,'-,0.110864 unit increase,[0.092-0.13],"SF3B5, PLAGL1",Monocyte percentage of white cells,monocyte percentage of leukocytes,GCST004609,6:144064640,Blood
2549,PLAGL1,PLAGL1,Paternal,rs149110519-<b>T</b>,5 x 10-30,,0.0349,'-,0.1123782 unit decrease,[0.093-0.132],"SF3B5, PLAGL1",Granulocyte percentage of myeloid white cells,granulocyte percentage of myeloid white cells,GCST004608,6:144064640,Blood
2550,PLAGL1,PLAGL1,Paternal,rs149110519-<b>T</b>,2 x 10-9,,0.0349,'-,0.05976161 unit increase,[0.04-0.079],"SF3B5, PLAGL1",Eosinophil percentage of granulocytes,eosinophil percentage of granulocytes,GCST004617,6:144064640,Blood
2551,PLAGL1,PLAGL1,Paternal,rs149110519-<b>T</b>,3 x 10-16,,0.0349,'-,0.08070002 unit increase,[0.061-0.1],"SF3B5, PLAGL1",Monocyte count,monocyte count,GCST004625,6:144064640,Blood
2552,PLAGL1,PLAGL1,Paternal,rs149110519-<b>T</b>,2 x 10-48,,0.036036,'-,0.074605 SD unit increase,[0.065-0.085],"SF3B5, PLAGL1",Monocyte count,monocyte count,GCST90002340,6:144064640,Blood
2553,PLAGL1,PLAGL1,Paternal,rs149110519-<b>T</b>,4 x 10-13,,0.03569,'-,0.043554757 unit increase,[0.032-0.055],"SF3B5, PLAGL1",Lymphocyte percentage of white cells,lymphocyte percentage of leukocytes,GCST90002389,6:144064640,Blood
2554,PLAGL1,PLAGL1,Paternal,rs149110519-<b>T</b>,7 x 10-46,,0.0345892,'-,'-,'-,"SF3B5, PLAGL1",Monocyte count,monocyte count,GCST90002344,6:144064640,Blood
2555,PLAGL1,PLAGL1,Paternal,rs149110519-<b>T</b>,5 x 10-66,,0.035667,'-,0.10335902 unit increase,[0.092-0.115],"SF3B5, PLAGL1",Monocyte percentage of white cells,monocyte percentage of leukocytes,GCST90002394,6:144064640,Blood
2556,PLAGL1,PLAGL1,Paternal,rs149110519-<b>T</b>,4 x 10-34,,0.03568,'-,0.07297152 unit decrease,[0.061-0.085],"SF3B5, PLAGL1",Neutrophil percentage of white cells,neutrophil percentage of leukocytes,GCST90002399,6:144064640,Blood
2557,PLAGL1,PLAGL1,Paternal,rs149110519-<b>T</b>,2 x 10-9,,0.0349,'-,0.05902827 unit decrease,[0.04-0.078],"SF3B5, PLAGL1",Neutrophil percentage of granulocytes,neutrophil percentage of granulocytes,GCST004623,6:144064640,Blood
2592,RASGRF1,RASGRF1,Paternal,rs7177831-<b>A</b>,4 x 10-212,"(CTSH, 8644_46_3)",0.819375,'-,0.9109655 unit decrease,[0.86-0.96],"RASGRF1, CTSH",Blood protein levels,blood protein measurement,GCST006585,15:78954000,Blood
2637,RHOBTB3,RHOBTB3,Paternal,rs57675369-<b>AG</b>,9 x 10-21,,0.1283,'-,0.04966919 unit decrease,[0.039-0.06],"GGCTP1, RHOBTB3",Immature fraction of reticulocytes,reticulocyte count,GCST004628,5:95826715,Blood
2638,RHOBTB3,RHOBTB3,Paternal,rs10067881-<b>A</b>,1 x 10-44,,0.1283,'-,0.07505901 unit decrease,[0.065-0.086],"GGCTP1, RHOBTB3",High light scatter reticulocyte count,reticulocyte count,GCST004611,5:95826771,Blood
2639,RHOBTB3,RHOBTB3,Paternal,rs10067881-<b>A</b>,6 x 10-44,,0.1283,'-,0.07450436 unit decrease,[0.064-0.085],"GGCTP1, RHOBTB3",High light scatter reticulocyte percentage of red cells,reticulocyte count,GCST004612,5:95826771,Blood
2640,RHOBTB3,RHOBTB3,Paternal,rs10067881-<b>A</b>,1 x 10-49,,0.1283,'-,0.07948653 unit decrease,[0.069-0.09],"GGCTP1, RHOBTB3",Reticulocyte fraction of red cells,reticulocyte count,GCST004619,5:95826771,Blood
2641,RHOBTB3,RHOBTB3,Paternal,rs10067881-<b>A</b>,5 x 10-49,,0.1282,'-,0.07895376 unit decrease,[0.068-0.089],"GGCTP1, RHOBTB3",Reticulocyte count,reticulocyte count,GCST004622,5:95826771,Blood
2642,RHOBTB3,RHOBTB3,Paternal,rs10067881-<b>A</b>,9 x 10-119,,0.128442,'-,0.07749632 unit decrease,[0.071-0.084],"GGCTP1, RHOBTB3",High light scatter reticulocyte percentage of red cells,reticulocyte measurement,GCST90002386,5:95826771,Blood
2643,RHOBTB3,RHOBTB3,Paternal,rs10067881-<b>A</b>,4 x 10-116,,0.128457,'-,0.076623626 unit decrease,[0.07-0.083],"GGCTP1, RHOBTB3",High light scatter reticulocyte count,reticulocyte count,GCST90002385,5:95826771,Blood
2644,RHOBTB3,RHOBTB3,Paternal,rs10067881-<b>A</b>,2 x 10-70,,0.128408,'-,0.059802502 unit decrease,[0.053-0.066],"GGCTP1, RHOBTB3",Immature fraction of reticulocytes,reticulocyte measurement,GCST90002387,5:95826771,Blood
2645,RHOBTB3,RHOBTB3,Paternal,rs10067881-<b>A</b>,4 x 10-96,,0.128393,'-,0.06998844 unit decrease,[0.063-0.077],"GGCTP1, RHOBTB3",Reticulocyte fraction of red cells,reticulocyte measurement,GCST90002406,5:95826771,Blood
2646,RHOBTB3,RHOBTB3,Paternal,rs10067881-<b>A</b>,9 x 10-91,,0.128408,'-,0.06798096 unit decrease,[0.061-0.075],"GGCTP1, RHOBTB3",Reticulocyte count,reticulocyte count,GCST90002405,5:95826771,Blood
2647,RHOBTB3,RHOBTB3,Paternal,rs17462893-<b>G</b>,6 x 10-28,,0.1017,'-,0.06504534 unit increase,[0.053-0.077],"GGCTP1, RHOBTB3",High light scatter reticulocyte count,reticulocyte count,GCST004611,5:95827733,Blood
2648,RHOBTB3,RHOBTB3,Paternal,rs17462893-<b>G</b>,3 x 10-27,,0.1017,'-,0.06416802 unit increase,[0.053-0.076],"GGCTP1, RHOBTB3",High light scatter reticulocyte percentage of red cells,reticulocyte count,GCST004612,5:95827733,Blood
2649,RHOBTB3,RHOBTB3,Paternal,rs17462893-<b>G</b>,4 x 10-31,,0.1017,'-,0.06894116 unit increase,[0.057-0.081],"GGCTP1, RHOBTB3",Reticulocyte fraction of red cells,reticulocyte count,GCST004619,5:95827733,Blood
2650,RHOBTB3,RHOBTB3,Paternal,rs17462893-<b>G</b>,9 x 10-31,,0.1017,'-,0.06854185 unit increase,[0.057-0.08],"GGCTP1, RHOBTB3",Reticulocyte count,reticulocyte count,GCST004622,5:95827733,Blood
2651,RHOBTB3,RHOBTB3,Paternal,rs17462893-<b>G</b>,8 x 10-12,,0.1017,'-,0.04016075 unit increase,[0.029-0.052],"GGCTP1, RHOBTB3",Immature fraction of reticulocytes,reticulocyte count,GCST004628,5:95827733,Blood
2652,RHOBTB3,RHOBTB3,Paternal,rs17462893-<b>G</b>,7 x 10-54,,0.101326,'-,0.057399277 unit increase,[0.05-0.065],"GGCTP1, RHOBTB3",High light scatter reticulocyte percentage of red cells,reticulocyte measurement,GCST90002386,5:95827733,Blood
2653,RHOBTB3,RHOBTB3,Paternal,rs17462893-<b>G</b>,1 x 10-50,,0.101321,'-,0.055596527 unit increase,[0.048-0.063],"GGCTP1, RHOBTB3",High light scatter reticulocyte count,reticulocyte count,GCST90002385,5:95827733,Blood
2654,RHOBTB3,RHOBTB3,Paternal,rs17462893-<b>G</b>,3 x 10-31,,0.101323,'-,0.04355093 unit increase,[0.036-0.051],"GGCTP1, RHOBTB3",Immature fraction of reticulocytes,reticulocyte measurement,GCST90002387,5:95827733,Blood
2655,RHOBTB3,RHOBTB3,Paternal,rs17462893-<b>G</b>,2 x 10-43,,0.101359,'-,0.051599346 unit increase,[0.044-0.059],"GGCTP1, RHOBTB3",Reticulocyte fraction of red cells,reticulocyte measurement,GCST90002406,5:95827733,Blood
2656,RHOBTB3,RHOBTB3,Paternal,rs17462893-<b>G</b>,1 x 10-38,,0.101353,'-,0.04858195 unit increase,[0.041-0.056],"GGCTP1, RHOBTB3",Reticulocyte count,reticulocyte count,GCST90002405,5:95827733,Blood
2676,SGK2,SGK2,Paternal,rs3787271-<b>?</b>,2 x 10-9,,NR,'-,'-,'-,SGK2,White blood cell count,leukocyte count,GCST007070,20:43573437,Blood
3049,WT1,WT1,Paternal,rs5030283-<b>C</b>,6 x 10-12,,0.210199,'-,0.018867975 unit decrease,[0.014-0.024],WT1,Mean spheric corpuscular volume,mean corpuscular volume,GCST90002397,11:32393565,Blood
3050,WT1,WT1,Paternal,rs5030241-<b>T</b>,1 x 10-10,,0.342555,'-,'-,'-,WT1,Hematocrit,hematocrit,GCST90002308,11:32402750,Blood
3051,WT1,WT1,Paternal,rs35317214-<b>AT</b>,2 x 10-10,,0.255148,'-,0.016297365 unit decrease,[0.011-0.021],WT1,Mean reticulocyte volume,mean reticulocyte volume,GCST90002396,11:32406629,Blood
3062,WT1,WT1,Paternal,rs10835916-<b>C</b>,1 x 10-8,,0.406175,'-,0.046684857 unit increase,[0.031-0.063],"EIF3M, WT1-AS",Medication use (calcium channel blockers),Calcium channel blocker use measurement,GCST007929,11:32461773,Blood
3077,WT1,WT1-AS,Paternal,rs10835916-<b>C</b>,1 x 10-8,,0.406175,'-,0.046684857 unit increase,[0.031-0.063],"EIF3M, WT1-AS",Medication use (calcium channel blockers),Calcium channel blocker use measurement,GCST007929,11:32461773,Blood
3091,WT1-AS,WT1-AS,Paternal,rs10835916-<b>C</b>,1 x 10-8,,0.406175,'-,0.046684857 unit increase,[0.031-0.063],"EIF3M, WT1-AS",Medication use (calcium channel blockers),Calcium channel blocker use measurement,GCST007929,11:32461773,Blood
3161,ZFAT,ZFAT,Paternal,rs6471235-<b>?</b>,5 x 10-6,(TIMP1),'-,'-,0.0733 unit increase,[NR],"ZFAT, AC105180.2",Blood protein levels,blood protein measurement,GCST010104,8:134401610,Blood
3162,ZFAT,ZFAT,Paternal,rs2315834-<b>C</b>,4 x 10-7,,NR,'-,0.39 unit decrease,[0.24-0.54],ZFAT,Iron status biomarkers (iron levels),serum iron measurement,GCST004570,8:134507604,Blood
3163,ZFAT,ZFAT,Paternal,rs2315837-<b>C</b>,7 x 10-9,,0.499535,'-,0.012943483 unit decrease,[0.0086-0.0173],ZFAT,Mean reticulocyte volume,mean reticulocyte volume,GCST90002396,8:134610098,Blood
3164,ZFAT,ZFAT,Paternal,rs4909338-<b>T</b>,2 x 10-9,,0.509021,'-,0.01323606 unit decrease,[0.0089-0.0176],ZFAT,Mean spheric corpuscular volume,mean corpuscular volume,GCST90002397,8:134639373,Blood
3165,ZFAT,ZFAT,Paternal,rs34074875-<b>A</b>,7 x 10-17,,0.156831,'-,0.025431197 unit increase,[0.019-0.031],ZFAT,Mean corpuscular hemoglobin,mean corpuscular hemoglobin,GCST90002390,8:134640328,Blood
3166,ZFAT,ZFAT,Paternal,rs34074875-<b>A</b>,4 x 10-15,,0.156826,'-,0.0251213 unit increase,[0.02-0.031],ZFAT,Mean corpuscular volume,mean corpuscular volume,GCST90002392,8:134640328,Blood
3167,ZFAT,ZFAT,Paternal,rs34074875-<b>?</b>,4 x 10-22,,NR,'-,'-,'-,ZFAT,Mean corpuscular hemoglobin,mean corpuscular hemoglobin,GCST007068,8:134640328,Blood
3168,ZFAT,ZFAT,Paternal,rs72719796-<b>?</b>,2 x 10-13,,NR,'-,'-,'-,ZFAT,Red blood cell count,erythrocyte count,GCST007069,8:134646328,Blood
3169,ZFAT,ZFAT,Paternal,rs72719796-<b>G</b>,1 x 10-14,,0.15861,'-,0.023279663 unit decrease,[0.017-0.029],ZFAT,Red blood cell count,erythrocyte count,GCST90002403,8:134646328,Blood
3170,ZFAT,ZFAT,Paternal,rs13271002-<b>G</b>,7 x 10-21,,0.130007,'-,'-,'-,ZFAT,Mean corpuscular volume,mean corpuscular volume,GCST90002338,8:134662361,Blood
3171,ZFAT,ZFAT,Paternal,rs71528371-<b>T</b>,7 x 10-24,,0.146953,'-,0.027458 SD unit increase,[0.022-0.033],ZFAT,Mean corpuscular hemoglobin,mean corpuscular hemoglobin concentration,GCST90002322,8:134672395,Blood
3172,ZFAT,ZFAT,Paternal,rs71528371-<b>T</b>,2 x 10-21,,0.121487,'-,'-,'-,ZFAT,Mean corpuscular hemoglobin,mean corpuscular hemoglobin concentration,GCST90002326,8:134672395,Blood
3173,ZFAT,ZFAT,Paternal,rs71528371-<b>T</b>,3 x 10-22,,0.146831,'-,0.024898 SD unit increase,[0.02-0.03],ZFAT,Mean corpuscular volume,mean corpuscular volume,GCST90002334,8:134672395,Blood
3174,ZFAT,ZFAT,Paternal,rs71528371-<b>T</b>,8 x 10-15,,0.146819,'-,0.020325 SD unit decrease,[0.015-0.025],ZFAT,Red blood cell count,red blood cell density measurement,GCST90002363,8:134672395,Blood
3175,ZFAT,ZFAT,Paternal,rs67654984-<b>A</b>,6 x 10-9,,0.159008,'-,0.017579276 unit decrease,[0.012-0.024],ZFAT,Eosinophil percentage of white cells,eosinophil percentage of leukocytes,GCST90002382,8:134695739,Blood
3176,ZFAT,ZFAT,Paternal,rs9969668-<b>A</b>,2 x 10-10,,0.132914,'-,'-,'-,"ZFAT, AC087045.2",Eosinophil counts,eosinophil count,GCST90002302,8:134719335,Blood
3177,ZFAT,ZFAT,Paternal,rs9969668-<b>A</b>,2 x 10-11,,0.154615,'-,0.018537 SD unit decrease,[0.013-0.024],"ZFAT, AC087045.2",Eosinophil counts,eosinophil count,GCST90002298,8:134719335,Blood
